name,rating,class,add,blt_name,place_type,lat,lng,crawl_time,source_address
nan,nan,nan,nan,〒102-0084 東京都千代田区二番町１０−４６,建造物,35.6862245,139.7347045,2025-07-02 15:35:40.145521,東京都千代田区二番町10-46
貝呑,4.0,魚介料理,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
居酒屋釣吉,4.1,居酒屋,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
神田 ブラッスリーザン,4.0,居酒屋,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
ステラコリス,4.2,イタリア料理,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
椿,nan,カルチャー スクール,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
ボラボラ,nan,軽食店,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
株式会社ユニバーサル・フィナンシャル,nan,保険代理店,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
メンズリラクゼーション,nan,指圧・マッサージ,"手島ビル 2F, １丁目-７-１ 鍛冶町",〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
水の恋,nan,タイ マッサージ セラピスト,鍛冶町１丁目７−１,〒101-0044 東京都千代田区鍛冶町１丁目７−１,建造物,35.6903667,139.7712745,2025-07-02 15:35:44.116480,東京都千代田区鍛冶町1丁目7-1
PARKS PARK千代田神田小川町3丁目第2,4.0,駐車場,1 階,〒101-0052 東京都千代田区神田小川町３丁目６−２ ＮＫビル,建造物,35.6951129,139.7623342,2025-07-02 15:35:46.521583,東京都千代田区神田小川町3丁目6-2
三井のカーシェアーズ リパーク千代田区鍛冶町１丁目第３,4.0,カー シェアリング場所,1 階,〒101-0044 東京都千代田区鍛冶町１丁目１０−７ KT鍛冶町ビル,建造物,35.6904399,139.7732851,2025-07-02 15:35:48.053240,東京都千代田区鍛冶町1丁目10-7
AKIHABARA BENTO,4.3,弁当製造業者,1 階,〒101-0021 東京都千代田区外神田６丁目５−９ ローズマンション ミヤハラ,建造物,35.7032925,139.7701829,2025-07-02 15:35:50.307838,東京都千代田区外神田6丁目5-9
nan,nan,nan,nan,〒102-0083 東京都千代田区麹町１丁目６−９ ＤＩＫ麹町ビル,建造物,35.6844132,139.742613,2025-07-02 15:35:53.851044,東京都千代田区麹町1丁目6-9
nan,nan,nan,nan,〒102-0083 東京都千代田区麹町２丁目６−５ 麹町E.C.Kビル,建造物,35.6847194,139.739636,2025-07-02 15:35:56.365935,東京都千代田区麹町2丁目6-5
中華そば 伊峡,3.8,ラーメン屋,1 階,〒101-0051 東京都千代田区神田神保町１丁目１７−６,建造物,35.6951707,139.7601289,2025-07-02 15:35:59.752803,東京都千代田区神田神保町1丁目17-6
ＣＩＴＹ・ＢＯＸ岩本町（トランクルーム）,nan,セルフストレージ施設,1 階,〒101-0032 東京都千代田区岩本町２丁目５−１,建造物,35.6937856,139.775883,2025-07-02 15:36:02.512127,東京都千代田区岩本町2丁目5-1
カールスジュニア秋葉原中央通りレストラン,4.1,ファースト フード,外神田４丁目４−３ 秋葉原Silビル 1階,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
猫カフェ MOCHA 秋葉原店,4.1,猫カフェ,外神田４丁目４−３ 秋葉原Silビル 2階,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
完全個室焼肉 牛の達人 秋葉原店,4.2,焼き肉,"SILビル, 4F, 千代田区外神田秋葉原４丁目, ４丁目-３",〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
大衆酒場 ちばチャン 秋葉原中央通り店,3.8,居酒屋,外神田４丁目４−３ 秋葉原Silビル 5F,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
王立アフィリア・クロニクルＳ -Afilia Chronicle S-,4.2,コスプレカフェ,外神田４丁目４−３ 秋葉原Silビル 8F,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
秋葉原コンカフェOVERTURE,4.4,コスプレカフェ,外神田４丁目４−３ 秋葉原Silビル 3F,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
トークライブ＆バー from scratch,4.6,イベント会場,外神田４丁目４−３ 秋葉原Silビル 9階,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
Mô hình,nan,コンビニエンスストア,外神田４丁目４−３ 秋葉原Silビル 1階,〒101-0021 東京都千代田区外神田４丁目４−３ 秋葉原Silビル,建造物,35.7013,139.7718573,2025-07-02 15:36:08.195628,東京都千代田区外神田4丁目4-3
焼肉ゑびす本廛,4.4,焼き肉,神田司町２丁目６−６,〒101-0048 東京都千代田区神田司町２丁目６−６ 株式会社第一丸正ビル,建造物,35.693999,139.7678806,2025-07-02 15:36:08.437380,東京都千代田区神田司町2丁目6-6
百蔵,4.3,居酒屋,２丁目-６ 神田司町,〒101-0048 東京都千代田区神田司町２丁目６−６ 株式会社第一丸正ビル,建造物,35.693999,139.7678806,2025-07-02 15:36:08.437380,東京都千代田区神田司町2丁目6-6
エビス焼肉,4.1,焼き肉,神田多町２丁目５,〒101-0048 東京都千代田区神田司町２丁目６−６ 株式会社第一丸正ビル,建造物,35.693999,139.7678806,2025-07-02 15:36:08.437380,東京都千代田区神田司町2丁目6-6
Modern Living Kanda,2.3,ゲスト ハウス,神田司町２丁目６−６,〒101-0048 東京都千代田区神田司町２丁目６−６ 株式会社第一丸正ビル,建造物,35.693999,139.7678806,2025-07-02 15:36:08.437380,東京都千代田区神田司町2丁目6-6
誠貿易運輸㈱,5.0,運送会社,神田司町２丁目６−６,〒101-0048 東京都千代田区神田司町２丁目６−６ 株式会社第一丸正ビル,建造物,35.693999,139.7678806,2025-07-02 15:36:08.437380,東京都千代田区神田司町2丁目6-6
スムーズパーク霞ヶ関3丁目,3.8,駐車場,霞が関３丁目６−１６,〒100-0013 東京都千代田区霞が関３丁目６−１６ 伊藤ビル,建造物,35.672024,139.7460427,2025-07-02 15:36:13.773284,東京都千代田区霞が関3丁目6-16
㈱高山耕山,nan,陶器製作業者,霞が関３丁目６−１６ 伊藤ビル,〒100-0013 東京都千代田区霞が関３丁目６−１６ 伊藤ビル,建造物,35.672024,139.7460427,2025-07-02 15:36:13.773284,東京都千代田区霞が関3丁目6-16
（有）第一音楽出版,nan,企業のオフィス,霞が関３丁目６−１６ 伊藤ビル,〒100-0013 東京都千代田区霞が関３丁目６−１６ 伊藤ビル,建造物,35.672024,139.7460427,2025-07-02 15:36:13.773284,東京都千代田区霞が関3丁目6-16
保護施設連盟,nan,政治団体,霞が関３丁目６−１６,〒100-0013 東京都千代田区霞が関３丁目６−１６ 伊藤ビル,建造物,35.672024,139.7460427,2025-07-02 15:36:13.773284,東京都千代田区霞が関3丁目6-16
全国社会福祉政治連盟,nan,政治団体,霞が関３丁目６−１６,〒100-0013 東京都千代田区霞が関３丁目６−１６ 伊藤ビル,建造物,35.672024,139.7460427,2025-07-02 15:36:13.773284,東京都千代田区霞が関3丁目6-16
nan,nan,nan,nan,〒101-0065 東京都千代田区西神田２丁目２−１５ マストライフ神保町,建造物,35.6984442,139.7559826,2025-07-02 15:36:17.530446,東京都千代田区西神田2丁目2-15
nan,nan,nan,nan,〒101-0048 東京都千代田区神田司町２丁目１０−３,建造物,35.6944197,139.7681225,2025-07-02 15:36:23.875093,東京都千代田区神田司町2丁目10-3
nan,nan,nan,nan,〒101-0047 東京都千代田区内神田３丁目４−３ 伊田ビル,建造物,35.6899904,139.7690317,2025-07-02 15:36:25.304971,東京都千代田区内神田3丁目4-3
ホテルマイステイズ御茶ノ水コンファレンスセンター,4.1,4 つ星ホテル,nan,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
Osteria NORA,4.3,イタリア料理,神田淡路町２丁目10−６ 1F,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
ファミリーマート ホテルマイステイズ御茶ノ水店,2.9,コンビニエンスストア,神田淡路町２丁目１０,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
OAK PLAZA,3.8,オフィス スペース レンタル代理店,神田淡路町２丁目,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
成心館道場 お茶の水教室,3.0,合気道場,神田淡路町２丁目２ ホテルマイステイズ御茶ノ水 2F,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
銀行ATM | イーネット ファミリーマートホテルマイステイズ御茶ノ水 共同出張所,nan,ATM,神田淡路町２丁目１０,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
チャージスポット,nan,携帯電話充電器,神田淡路町２丁目１０ ファミリーマートホテルマイステイズ御茶ノ水店,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
オークプラザ月極駐車場,nan,月極駐車場,神田淡路町２丁目１０−６ オークプラザ,〒101-0063 東京都千代田区神田淡路町２丁目１０−６ 神田淡路町ビル,建造物,35.6972892,139.7685136,2025-07-02 15:36:29.361679,東京都千代田区神田淡路町2丁目10-6
nan,nan,nan,nan,〒102-0071 東京都千代田区富士見１丁目９−２１ 谷口ビル,建造物,35.6977805,139.7463256,2025-07-02 15:36:35.388188,東京都千代田区富士見1丁目9-21
nan,nan,nan,nan,〒101-0051 東京都千代田区神田神保町２丁目１２−５ スズキビル,建造物,35.696624,139.757132,2025-07-02 15:36:41.552938,東京都千代田区神田神保町2丁目12-5
スミビトケムリ 神田店,3.6,居酒屋,2 階,〒101-0044 東京都千代田区鍛冶町１丁目７−１９ 大越ビル,建造物,35.6902216,139.7710251,2025-07-02 15:36:44.698160,東京都千代田区鍛冶町1丁目7-19
nan,nan,nan,nan,〒102-0075 東京都千代田区三番町１−１ ＫＹ三番町ビル,建造物,35.6897103,139.7452467,2025-07-02 15:36:47.715659,東京都千代田区三番町1-1
nan,nan,nan,nan,10-46 Nibanchō,建筑物,35.6862245,139.7347045,2025-07-02 15:40:21.621618,東京都千代田区二番町10-46
PARKS PARK千代田神田小川町3丁目第2,4.0,停车场,1 楼,"〒101-0052 Tokyo, Chiyoda City, Kanda Ogawamachi, 3-chōme−6−2 ＮＫビル",建筑物,35.6951129,139.7623342,2025-07-02 15:40:27.656723,東京都千代田区神田小川町3丁目6-2
三井のカーシェアーズ リパーク千代田区鍛冶町１丁目第３,4.0,租车交接点,1 楼,"〒101-0044 Tokyo, Chiyoda City, Kajichō, 1-chōme−10−7 KT鍛冶町ビル",建筑物,35.6904399,139.7732851,2025-07-02 15:40:33.710039,東京都千代田区鍛冶町1丁目10-7
AKIHABARA BENTO,4.3,盒饭供应商,1 楼,"〒101-0021 Tokyo, Chiyoda City, Sotokanda, 6-chōme−5−9 ローズマンション ミヤハラ",建筑物,35.7032925,139.7701829,2025-07-02 15:40:39.709919,東京都千代田区外神田6丁目5-9
貝呑,4.0,海鲜馆,2 楼,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 15:40:44.363481,東京都千代田区鍛冶町1丁目7-1
居酒屋釣吉,4.1,居酒屋,1 楼,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 15:40:44.363481,東京都千代田区鍛冶町1丁目7-1
BRASSERIE LE ZINC,4.0,居酒屋,1 楼,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 15:40:44.363481,東京都千代田区鍛冶町1丁目7-1
Stella Collis,4.2,意大利风味餐馆,-1 楼,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 15:40:44.363481,東京都千代田区鍛冶町1丁目7-1
nan,nan,nan,nan,"〒102-0083 Tokyo, Chiyoda City, Kōjimachi, 1-chōme−6−9 ＤＩＫ麹町ビル",建筑物,35.6844132,139.742613,2025-07-02 15:40:45.529155,東京都千代田区麹町1丁目6-9
nan,nan,nan,nan,"〒102-0083 Tokyo, Chiyoda City, Kōjimachi, 2-chōme−6−5 麹町E.C.Kビル",建筑物,35.6847194,139.739636,2025-07-02 15:40:50.600492,東京都千代田区麹町2丁目6-5
Ikyo,3.8,拉面馆,1 楼,"〒101-0051 Tokyo, Chiyoda City, Kanda Jinbōchō, 1-chōme−１７−6",建筑物,35.6951707,139.7601289,2025-07-02 15:40:51.698433,東京都千代田区神田神保町1丁目17-6
CITY BOX Iwamotocho,nan,自助贮存设施,1 楼,2-chōme-5-1 Iwamotochō,建筑物,35.6937856,139.775883,2025-07-02 15:40:57.080933,東京都千代田区岩本町2丁目5-1
烤肉Ebisu本店,4.4,日式烧肉,"Kanda Tsukasamachi, 2 Chome−６−6",Marusho B.L.D. No.1,建筑物,35.693999,139.7678806,2025-07-02 15:41:03.511072,東京都千代田区神田司町2丁目6-6
百蔵,4.3,居酒屋,2 Chome-６ Kanda Tsukasamachi,Marusho B.L.D. No.1,建筑物,35.693999,139.7678806,2025-07-02 15:41:03.511072,東京都千代田区神田司町2丁目6-6
エビス焼肉,4.1,日式烧肉,"Kanda Tacho, 2 Chome−５",Marusho B.L.D. No.1,建筑物,35.693999,139.7678806,2025-07-02 15:41:03.511072,東京都千代田区神田司町2丁目6-6
Modern Living Kanda,2.3,招待所,2 Chome-6-6 Kanda Tsukasamachi,Marusho B.L.D. No.1,建筑物,35.693999,139.7678806,2025-07-02 15:41:03.511072,東京都千代田区神田司町2丁目6-6
"Makoto Trading & Transport Co., Ltd.",5.0,船运公司,2 Chome-6-6 Kanda Tsukasamachi,Marusho B.L.D. No.1,建筑物,35.693999,139.7678806,2025-07-02 15:41:03.511072,東京都千代田区神田司町2丁目6-6
